Source,Target
LattesID_8226325993016336,LattesID_11303079806761
LattesID_9973453169372876,LattesID_11303079806761
LattesID_362417828475021,LattesID_11303079806761
LattesID_4950530398212920,LattesID_11303079806761
LattesID_5067006506847859,LattesID_11303079806761
LattesID_7111526592323456,LattesID_11303079806761
LattesID_81082709406470,LattesID_11303079806761
LattesID_3441145714823409,LattesID_29713017048136
LattesID_2894022208253502,LattesID_29713017048136
LattesID_9441109558446264,LattesID_29713017048136
LattesID_4188010579861518,LattesID_29713017048136
LattesID_5614127969836661,LattesID_29713017048136
LattesID_605759713159589,LattesID_29713017048136
LattesID_5830383292132474,LattesID_29713017048136
LattesID_9722606933361880,LattesID_29713017048136
LattesID_3895788903803911,LattesID_57571113012412
LattesID_2934023479325711,LattesID_57571113012412
LattesID_3874761166549014,LattesID_57571113012412
LattesID_6762753605442748,LattesID_57571113012412
LattesID_5296206781844677,LattesID_57571113012412
LattesID_8437635605330670,LattesID_57571113012412
LattesID_4938313544021090,LattesID_57571113012412
LattesID_5761546014615452,LattesID_57571113012412
LattesID_701288009461578,LattesID_57571113012412
LattesID_9782031388762784,LattesID_57571113012412
LattesID_7430168236802142,LattesID_51564735964760
LattesID_6824383277098012,LattesID_51564735964760
LattesID_4297634330123270,LattesID_51564735964760
LattesID_1470194346779040,LattesID_51564735964760
LattesID_17811582889651,LattesID_51564735964760
LattesID_4913185789813324,LattesID_51564735964760
LattesID_444070739009629,LattesID_51564735964760
LattesID_1290431093517614,LattesID_43057219064007
LattesID_7181580117794311,LattesID_43057219064007
LattesID_2688383681736687,LattesID_43057219064007
LattesID_803641587012049,LattesID_43057219064007
LattesID_4224608743093479,LattesID_43057219064007
LattesID_3910811322158152,LattesID_43057219064007
LattesID_6580753089274918,LattesID_43057219064007
LattesID_4470525491988789,LattesID_43057219064007
LattesID_2175565376202290,LattesID_43057219064007
LattesID_6923514547302465,LattesID_43057219064007
LattesID_5385622413700365,LattesID_43057219064007
LattesID_5878538704575138,LattesID_43057219064007
LattesID_1524714691260668,LattesID_43057219064007
LattesID_650585099177899,LattesID_43057219064007
LattesID_183115295887112,LattesID_43057219064007
LattesID_4946667702099742,LattesID_43057219064007
LattesID_6052633972401,LattesID_43057219064007
LattesID_5660372683265184,LattesID_43057219064007
LattesID_3664682086826885,LattesID_43057219064007
LattesID_944029226991829,LattesID_43057219064007
LattesID_2495355956155020,LattesID_43057219064007
LattesID_9675183755818036,LattesID_43057219064007
LattesID_5764332547110697,LattesID_43057219064007
LattesID_1953391672404616,LattesID_43057219064007
LattesID_8505245031855830,LattesID_43057219064007
LattesID_7823431799604810,LattesID_43057219064007
LattesID_3275391267099931,LattesID_43057219064007
LattesID_7954650878414181,LattesID_43057219064007
LattesID_8847402187722208,LattesID_43057219064007
LattesID_1990295490407120,LattesID_43057219064007
LattesID_5417023055495844,LattesID_43057219064007
LattesID_1805138621817203,LattesID_43057219064007
LattesID_4009459218454577,LattesID_43057219064007
LattesID_6091080500605275,LattesID_32127633683659
LattesID_7293467737963714,LattesID_32127633683659
LattesID_5168453378623810,LattesID_32127633683659
LattesID_7483617965796312,LattesID_32127633683659
LattesID_3928083515578019,LattesID_32127633683659
LattesID_757943701805332,LattesID_32127633683659
LattesID_5817799518198909,LattesID_32127633683659
LattesID_7524306126988722,LattesID_32127633683659
LattesID_7581629497278229,LattesID_32127633683659
LattesID_697771002862216,LattesID_32127633683659
LattesID_9161743319683788,LattesID_32127633683659
LattesID_4076237995684637,LattesID_32127633683659
LattesID_5198350784368049,LattesID_32127633683659
LattesID_6040857570071530,LattesID_32127633683659
LattesID_4161644153999841,LattesID_87513816949221
LattesID_8936139935755128,LattesID_87513816949221
LattesID_6090705125980118,LattesID_87513816949221
LattesID_5350965567354690,LattesID_87513816949221
LattesID_9243233492333524,LattesID_87513816949221
LattesID_7491329866255842,LattesID_87513816949221
LattesID_8627716475296418,LattesID_87513816949221
LattesID_9436361347505110,LattesID_74833031020069
LattesID_4915659948263445,LattesID_29233355476625
LattesID_6660127471891321,LattesID_29233355476625
LattesID_2827990228368187,LattesID_29233355476625
LattesID_3671374576170997,LattesID_29233355476625
LattesID_4608001746330875,LattesID_29233355476625
LattesID_261262977498733,LattesID_29233355476625
LattesID_5681147676729706,LattesID_29233355476625
LattesID_4727819060530536,LattesID_29233355476625
LattesID_8568398924488797,LattesID_29233355476625
LattesID_4537145859528088,LattesID_29233355476625
LattesID_9877637800155676,LattesID_29233355476625
LattesID_531001850708530,LattesID_29233355476625
LattesID_894173628786265,LattesID_29233355476625
LattesID_9853587838713228,LattesID_29233355476625
LattesID_162081093970868,LattesID_29233355476625
LattesID_4404685370591374,LattesID_41476511097254
LattesID_9715974030451424,LattesID_43721710279191
LattesID_395803930150686,LattesID_43721710279191
LattesID_6888919884998742,LattesID_43721710279191
LattesID_3539807164026550,LattesID_43721710279191
LattesID_5294575601301891,LattesID_43721710279191
LattesID_5709608677319907,LattesID_43721710279191
LattesID_9689624216116336,LattesID_43721710279191
LattesID_6088795290456551,LattesID_43721710279191
LattesID_2343206390444103,LattesID_43721710279191
LattesID_7495557905773050,LattesID_43721710279191
LattesID_1505490272203990,LattesID_43721710279191
LattesID_1558895083624729,LattesID_43721710279191
LattesID_2149348858670290,LattesID_60120644445370
LattesID_8055386051916368,LattesID_60120644445370
LattesID_9523771548927126,LattesID_60120644445370
LattesID_2348379082962911,LattesID_60120644445370
LattesID_2521857122518218,LattesID_60120644445370
LattesID_9796678190041702,LattesID_60120644445370
LattesID_4442150580610080,LattesID_60120644445370
LattesID_3775916288492483,LattesID_60120644445370
LattesID_9644478140268924,LattesID_60120644445370
LattesID_1587720032474907,LattesID_60120644445370
LattesID_5070409234189163,LattesID_60120644445370
LattesID_7907503278098258,LattesID_60120644445370
LattesID_7295411790702083,LattesID_60120644445370
LattesID_4603791761884563,LattesID_60120644445370
LattesID_4697588754974290,LattesID_60120644445370
LattesID_467981739401027,LattesID_95550072802463
LattesID_9432292232856404,LattesID_95550072802463
LattesID_4192222891636214,LattesID_95550072802463
LattesID_3428194048954005,LattesID_95550072802463
LattesID_5410311230914455,LattesID_95550072802463
LattesID_8861898765958365,LattesID_95550072802463
LattesID_169452912150328,LattesID_95550072802463
LattesID_7056085573389125,LattesID_95550072802463
LattesID_527605372889462,LattesID_95550072802463
LattesID_1609625518984998,LattesID_95550072802463
LattesID_2699467457371688,LattesID_95550072802463
LattesID_8503472284486778,LattesID_95550072802463
LattesID_5582502151972105,LattesID_95550072802463
LattesID_3696290019646753,LattesID_95550072802463
LattesID_793966719188497,LattesID_95550072802463
LattesID_7040928855623625,LattesID_95550072802463
